date,field,company,ticker,stock_code,recommendation,weighted_signal,as_of_date,signal_source,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,market_signal,market_weighted_signal,market_recommendation,market_weight,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight
2025-08,반도체,테스,095610,095610,보유,0.1946,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.4841,0.080683,보유,0.166667,0.3255,0.05425,보유,0.166667,0.0557,0.009283,보유,0.166667,0.4405,0.073417,매수,0.166667,0.8621,0.143683,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,월덱스,101160,101160,보유,0.2204,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6747,0.11245,보유,0.166667,0.0186,0.0031,보유,0.166667,0.2104,0.035067,보유,0.166667,0.6007,0.100117,매수,0.166667,0.8182,0.136367,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,원익IPS,240810,240810,매도,0.0746,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5665,0.094417,보유,0.166667,0.1815,0.03025,보유,0.166667,0.0287,0.004783,보유,0.166667,-0.2457,-0.04095,매도,0.166667,0.9167,0.152783,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,원익머트리얼즈,104830,104830,보유,0.0535,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.4717,0.078617,보유,0.166667,-0.1143,-0.01905,보유,0.166667,0.2364,0.0394,보유,0.166667,0.5642,0.094033,매수,0.166667,0.1628,0.027133,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,어보브반도체,102120,102120,매도,-0.1304,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.1935,-0.03225,보유,0.166667,0.1498,0.024967,보유,0.166667,0.2241,0.03735,보유,0.166667,-0.1629,-0.02715,매도,0.166667,0.2,0.033333,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,코아시아,045970,045970,매도,-0.0917,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.5284,-0.088067,보유,0.166667,0.0,0.0,보유,0.166667,0.2285,0.038083,보유,0.166667,-0.0686,-0.011433,보유,0.166667,0.8182,0.136367,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-09,반도체,DB하이텍,000990,000990,매도,0.0695,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5192,0.086533,보유,0.166667,0.1756,0.029267,매도,0.166667,-0.218,-0.036333,보유,0.166667,0.4414,0.073567,매수,0.166667,0.4737,0.07895,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,동진쎄미켐,005290,005290,매도,0.1781,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.694,0.115667,보유,0.166667,0.3602,0.060033,보유,0.166667,0.0435,0.00725,보유,0.166667,0.029,0.004833,보유,0.166667,0.8919,0.14865,보유,0.166667,-0.95,-0.158333,매도,0.166667
2025-09,반도체,두산테스나,131970,131970,매도,0.0464,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.3482,0.058033,보유,0.166667,0.0,0.0,보유,0.166667,0.0589,0.009817,보유,0.166667,0.0,0.0,보유,0.166667,0.8462,0.141033,보유,0.166667,-0.975,-0.1625,매도,0.166667
2025-09,반도체,덕산테코피아,317330,317330,매도,-0.2476,2025-09-30,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.6762,-0.1127,보유,0.166667,-0.1143,-0.01905,보유,0.166667,0.3217,0.053617,보유,0.166667,-0.5135,-0.085583,보유,0.166667,0.4717,0.078617,보유,0.166667,-0.975,-0.1625,매도,0.166667
