date,ticker,recommendation,weighted_signal,stock_code,company_dir,field,as_of_date,run_id,signal_source,chair_json_path,auditor_packet_path,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,finance_signal_source,finance_basis,market_signal,market_weighted_signal,market_recommendation,market_weight,market_signal_source,market_basis,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,tech_signal_source,tech_basis,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,valuation_signal_source,valuation_basis,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,issue_signal_source,issue_basis,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight,macro_signal_source,macro_basis
2025-02,코아시아,보유,,045970,coasia,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,가온칩스,보유,,399720,gaochips,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,원익IPS,보유,,240810,wonik_ips,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,유진테크,보유,,084370,eugene_tech,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,피에스케이,보유,,319660,psk,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,테스,보유,,095610,tes,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,GST,보유,,083450,gst,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,에스티아이,보유,,039440,sti,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,넥스틴,보유,,348210,nextin,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,솔브레인,보유,,357780,soulbrain,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,동진쎄미켐,보유,,005290,dongjin_semichem,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
2025-02,원익머트리얼즈,보유,,104830,wonik_materials,반도체,2025-02-28,bt_2025_2026_v49,missing,,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,,,,보유,,missing,
