application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020050028541,1020060106110,1011649590000,소멸,소멸,반도체 소자용 포토레지스트를 제거하기 위한 박리액 조성물,주식회사 동진쎄미켐
1020200080331,1020210010336,1028681650000,등록,등록,"포지티브형 감광성 수지 조성물, 감광성 수지 필름 및 이를 이용한 디스플레이 장치",주식회사 동진쎄미켐
1020220114051,1020240035062,,공개,공개,신규한 발광 소자용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020130000141,1020140088346,1020414030000,등록,등록,포토레지스트 조성물 및 이를 이용한 금속 패턴의 형성 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020190103137,1020200034584,1028632160000,등록,등록,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020190119083,1020210034445,1028631970000,등록,등록,신규 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020250079061,1020250096665,,공개,공개,캡핑층을 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020180091543,1020200016436,1026795200000,등록,등록,신규 화합물 및 이를 포함하는 유기발광 소자,주식회사 동진쎄미켐
1020150068031,1020150132022,,거절,거절,신규한 화합물 및 이를 포함하는 유기발광소자,주식회사 동진쎄미켐
1020180153121,1020200066064,1021913290000,소멸,소멸,발포제 및 이를 이용하여 형성된 발포체,주식회사 동진쎄미켐
1020130132996,1020150051478,,거절,거절,포토레지스트 조성물 및 이를 이용한 박막 트랜지스터 표시판의 제조 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020090098057,1020110041052,,취하,취하,세정액 조성물 및 이를 이용한 세정방법,주식회사 동진쎄미켐
1020060014902,1020060106873,,취하,취하,네가티브형 포토레지스트 조성물,주식회사 동진쎄미켐
1020040016654,1020050091303,,거절,거절,분광기를 이용한 박리액 조성물 관리 방법 및 장치,주식회사 동진쎄미켐
1020070026497,1020080085274,,거절,거절,포토레지스트 제거용 박리액 조성물,주식회사 동진쎄미켐|삼성디스플레이 주식회사
1020040037385,1020050112333,1011428680000,소멸,소멸,포토레지스트 제거용 씬너 조성물,주식회사 동진쎄미켐
1020170148902,1020190052985,1026203540000,등록,등록,"감광성 고분자, 이를 이용한 포토레지스트 조성물 및 패턴형성 방법",주식회사 동진쎄미켐
1020050067805,1020070013475,,취하,취하,포토레지스트 제거용 씬너 조성물,주식회사 동진쎄미켐
1020040046031,1020050120914,,거절,거절,레지스트 제거용 조성물,주식회사 동진쎄미켐
1020100099703,1020110046275,,거절,거절,포토레지스트 패턴 세정 및 보호막 형성용 조성물,주식회사 동진쎄미켐
1019960023200,1019980003887,1001843070000,소멸,소멸,포토레지스트 박리액 조성물,주식회사 동진쎄미켐
1020010059746,1020030026665,,거절,거절,포토레지스트 리무버 조성물,주식회사 동진쎄미켐
1020160111736,1020180024827,,거절,거절,전도성 조성물 및 이를 이용한 전도성 적층체,주식회사 동진쎄미켐
1020040013113,1020050087357,,거절,거절,포토레지스트 박리액 조성물,주식회사 동진쎄미켐
1020060002683,1020070074746,,거절,거절,레지스트 제거용 조성물,주식회사 동진쎄미켐
1020080110624,1020100051451,1013758490000,소멸,소멸,잉크 조성물 및 이를 이용한 액정표시장치의 제조방법,엘지디스플레이 주식회사|주식회사 동진쎄미켐
1020160168600,1020180067153,,거절,거절,트리아미노 구아니딘 염 화합물을 포함하는 발포제 조성물,주식회사 동진쎄미켐
1020180064389,1020180133230,1026046980000,등록,등록,높은 식각비를 갖는 유기 반사 방지막 형성용 조성물,주식회사 동진쎄미켐
1020030035683,1020040104161,1009513640000,소멸,소멸,포토레지스트 제거용 씬너 조성물,주식회사 동진쎄미켐
1020160086880,1020170007185,1026095350000,등록,등록,포토레지스트 패턴 코팅용 조성물 및 이를 이용한 미세 패턴 형성 방법,주식회사 동진쎄미켐
