application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1019850000805,1019860006826,1000248940000,소멸,소멸,리이드후레임의오토로우더,한미반도체 주식회사
1020060065159,,1007497590000,소멸,소멸,반도체 제조장비의 리드 스톱퍼 장치,한미반도체 주식회사
1020020036433,1020040001289,1004795350000,소멸,소멸,반도체 패키지의 리드촬영장치,한미반도체 주식회사
1020130087752,1020150012361,1015667140000,등록,등록,플립칩 본딩장치,한미반도체 주식회사
1020240063915,1020250164468,,공개,공개,열압착 본딩헤드,한미반도체 주식회사
1020160039658,1020170112524,,포기,포기,몰딩 파우더 공급방법,한미반도체 주식회사
1020080038119,1020090112309,,취하,취하,반도체 제조장비의 동시 컷팅 제어방법,한미반도체 주식회사
1020020056786,1020040025006,1004524230000,소멸,소멸,하향식 싱귤레이션장치,한미반도체 주식회사
1020190090610,,1021325620000,소멸,소멸,몰딩용 타블렛 공급장치,한미반도체 주식회사
1020070103147,1020090037683,1009044720000,등록,등록,반도체 제조장비의 튜브적재장치,한미반도체 주식회사
1020120108170,1020140041153,,거절,거절,반도체 제조장치 및 이의 제어방법,한미반도체 주식회사
1019960064585,1019980046276,1002159370000,소멸,소멸,반도체의 리드프레임을 가공하는 장치,한미반도체 주식회사
1020120088147,1020140022129,1014461770000,소멸,소멸,압축 성형장치,한미반도체 주식회사
1020110145950,1020130077311,,거절,거절,픽업유닛 및 픽업장치,한미반도체 주식회사
1020150163309,1020170059227,,거절,거절,반도체패키지 스퍼터링 프레임,한미반도체 주식회사
1020100092635,1020120030841,,거절,거절,"웨이퍼 마캉장치, 마킹위치 검사부재 및 웨이퍼 마킹장치의 제어방법",한미반도체 주식회사
1020120140418,1020140072656,1019250450000,등록,등록,도킹블럭유닛,한미반도체 주식회사
1020060002502,1020070074681,1010599140000,등록,등록,반도체 제조공정용 테이블,한미반도체 주식회사
1020100078209,,1011102330000,소멸,소멸,수지재 공급장치 및 이를 구비하는 스탬핑 시스템,한미반도체 주식회사
1020210091847,1020230011159,1026859630000,등록,등록,반도체 자재 절단방법,한미반도체 주식회사
1020030036285,1020040107557,1005161780000,소멸,소멸,반도체 이송용 피더 구동장치의 회전커버,한미반도체 주식회사
1019980009590,1019980019474,1002985140000,소멸,소멸,마이크로비지에이의싱귤레이션금형,한미반도체 주식회사
1020080039198,1020090113463,,거절,거절,반도체 제조장비의 인라인 쏘잉 시스템,한미반도체 주식회사
1020070071718,1020090008630,,포기,포기,반도체 패키지 제조용 기판 인입출장치,한미반도체 주식회사
1020080073448,1020100012189,1014543180000,소멸,소멸,이젝터 핀 어셈블리,한미반도체 주식회사
1020180103233,1020200025609,,거절,거절,흡착 테이블,한미반도체 주식회사
1020180007300,1020190088785,1024063850000,등록,등록,반도체 자재 절단장치,한미반도체 주식회사
1020120071421,1020140003281,,포기,포기,반도체칩 본딩 시스템,한미반도체 주식회사
1020070015494,1020080076063,,포기,포기,반도체 패키지용 리드프레임,한미반도체 주식회사
1020150129573,1020170031952,1020534800000,등록,등록,반도체 패키지 건조장치 및 이를 구비하는 반도체 스트립 절단 시스템,한미반도체 주식회사
1020040068433,1020060019780,1006183090000,소멸,소멸,반도체 장비 제어 시스템,한미반도체 주식회사
