source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020070011975,39410753,,KR,KR,WO,,2008000705,20080205,2008097012,20080814,,,2008000705,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070011975,39410753,,TW,TW,TW,,97104198,20080204,I380013,20121221,,,97104198,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020070011975,39410753,,TW,TW,TW,,97104198,20080204,200846653,20081201,,,97104198,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020240082960,94237831,,KR,KR,KR,,20230143128,20231024,20250059127,20250502,,,20230143128,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020110144707,48741780,,TW,TW,TW,,101151220,20121228,201334102,20130816,,,101151220,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020110144707,48741780,,AT,AT,AT,,13302012,20121220,512313,20130715,,,13302012,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020110144707,48741780,,AT,AT,AT,,13302012,20121220,512313,20140315,,,13302012,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020230143128,94237831,,KR,KR,KR,,20240082960,20240625,102754914,20250115,,,20240082960,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020240081233,93117874,,KR,KR,KR,,20230044948,20230405,102843835,20250807,,,20230044948,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020240081233,93117874,,KR,KR,KR,,20230044948,20230405,20240149241,20241014,,,20230044948,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020230044948,93117874,,KR,KR,KR,,20240081233,20240621,102754913,20250115,,,20240081233,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020230044948,93117874,,KR,KR,KR,,20240081233,20240621,20240149362,20241014,,,20240081233,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020160083279,60972990,,CN,CN,CN,,201710455829,20170616,107564833,20180109,,,201710455829,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160083279,60972990,,CN,CN,CN,,201710455829,20170616,107564833,20220114,,,201710455829,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160083279,60972990,,TW,TW,TW,,106121644,20170628,201812968,20180401,,,106121644,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020160083279,60972990,,TW,TW,TW,,106121644,20170628,I717531,20210201,,,106121644,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080132262,42288230,,CN,CN,CN,,200980152253,20091202,102264616,20111130,,,200980152253,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020080132262,42288230,,CN,CN,CN,,200980152253,20091202,102264616,20131113,,,200980152253,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020080132262,42288230,,JP,JP,JP,,2011543410,20091202,2012513324,20120614,,,2011543410,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020080132262,42288230,,JP,JP,JP,,2011543410,20091202,5291805,20130918,,,2011543410,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020080132262,42288230,,KR,KR,WO,,2009007152,20091202,2010074416,20100826,,,2009007152,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020080132262,42288230,,KR,KR,WO,,2009007152,20091202,2010074416,20100701,,,2009007152,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020080132262,42288230,,TW,TW,TW,,98142809,20091215,I478803,20150401,,,98142809,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080132262,42288230,,TW,TW,TW,,98142809,20091215,201024190,20100701,,,98142809,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080132262,42288230,,MY,MY,MY,,PI20112624,20091202,154102,20150430,,,PI20112624,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020110082372,47898033,,TW,TW,TW,,101129631,20120815,201310723,20130301,,,101129631,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020070031716,39808436,,KR,KR,WO,,2008001489,20080317,2008120876,20081009,,,2008001489,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070031716,39808436,,TW,TW,TW,,97110651,20080326,I371075,20120821,,,97110651,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020070031716,39808436,,TW,TW,TW,,97110651,20080326,200845269,20081116,,,97110651,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020170035233,60809098,,TW,TW,TW,,106115394,20170510,I626699,20180611,,,106115394,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020170035233,60809098,,TW,TW,TW,,106115394,20170510,201740484,20171116,,,106115394,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020100017230,44932435,,TW,TW,TW,,100102911,20110126,201129457,20110901,,,100102911,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020090069036,43529812,,KR,KR,WO,,2010004539,20100713,2011013923,20110203,,,2010004539,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020090069036,43529812,,KR,KR,WO,,2010004539,20100713,2011013923,20110407,,,2010004539,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020090069036,43529812,,TW,TW,TW,,99124608,20100727,201104931,20110201,,,99124608,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020090065723,43499517,,KR,KR,WO,,2010004490,20100709,2011010821,20110127,,,2010004490,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020090065723,43499517,,KR,KR,WO,,2010004490,20100709,2011010821,20110603,,,2010004490,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020090065723,43499517,,TW,TW,TW,,99123639,20100719,201108351,20110301,,,99123639,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020070066990,39394810,,KR,KR,KR,,20060139252,20061231,20080019524,20080304,,,20060139252,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066992,20070704,20080019538,20080304,,,20070066992,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070013872,20070209,20080019526,20080304,,,20070013872,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066989,20070704,20080019535,20080304,,,20070066989,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066988,20070704,20080019534,20080304,,,20070066988,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066991,20070704,20080019537,20080304,,,20070066991,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066992,20070704,100915444,20090904,,,20070066992,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066991,20070704,100884056,20090219,,,20070066991,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070066988,20070704,100884057,20090219,,,20070066988,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20060139252,20061231,100920988,20091009,,,20060139252,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070066990,39394810,,KR,KR,KR,,20070013872,20070209,100855361,20080904,,,20070013872,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
