date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume
2023-04-11,3109.419921875,3109.419921875,0,12031.8798828125,12031.8798828125,4676960000,4108.93994140625,4108.93994140625,3665830000,19.100000381469727,19.100000381469727,0,62.02000045776367,57.73421859741211,3108800
2023-04-12,3052.52001953125,3052.52001953125,0,11929.33984375,11929.33984375,4909770000,4091.949951171875,4091.949951171875,3633120000,19.09000015258789,19.09000015258789,0,62.15999984741211,57.86454772949219,4454600
2023-04-13,3074.93994140625,3074.93994140625,0,12166.26953125,12166.26953125,4942990000,4146.22021484375,4146.22021484375,3596590000,17.799999237060547,17.799999237060547,0,64.01000213623047,59.58670425415039,3664500
2023-04-14,3070.449951171875,3070.449951171875,0,12123.4697265625,12123.4697265625,4655740000,4137.64013671875,4137.64013671875,3575690000,17.06999969482422,17.06999969482422,0,63.349998474121094,58.972312927246094,2562000
2023-04-17,3066.679931640625,3066.679931640625,0,12157.7197265625,12157.7197265625,4823180000,4151.31982421875,4151.31982421875,3611180000,16.950000762939453,16.950000762939453,0,62.83000183105469,58.48824691772461,2451300
2023-04-18,3077.719970703125,3077.719970703125,0,12153.41015625,12153.41015625,4851810000,4154.8701171875,4154.8701171875,3536640000,16.829999923706055,16.829999923706055,0,62.970001220703125,58.61857223510742,1932600
2023-04-19,3046.3798828125,3046.3798828125,0,12157.23046875,12157.23046875,4972700000,4154.52001953125,4154.52001953125,3572560000,16.459999084472656,16.459999084472656,0,62.36000061035156,58.050724029541016,1804000
2023-04-20,3046.280029296875,3046.280029296875,0,12059.5595703125,12059.5595703125,4590530000,4129.7900390625,4129.7900390625,3772080000,17.170000076293945,17.170000076293945,0,62.15999984741211,57.86454772949219,3163000
2023-04-21,3021.43994140625,3021.43994140625,0,12072.4599609375,12072.4599609375,4868050000,4133.52001953125,4133.52001953125,3611750000,16.770000457763672,16.770000457763672,0,61.560001373291016,57.306007385253906,3255500
2023-04-24,3007.510009765625,3007.510009765625,0,12037.2001953125,12037.2001953125,4854050000,4137.0400390625,4137.0400390625,3290940000,16.889999389648438,16.889999389648438,0,61.15999984741211,56.933650970458984,1984800
2023-04-25,2906.2900390625,2906.2900390625,0,11799.16015625,11799.16015625,4806020000,4071.6298828125,4071.6298828125,3978640000,18.760000228881836,18.760000228881836,0,59.43000030517578,55.32319641113281,2554400
2023-04-26,2922.989990234375,2922.989990234375,0,11854.349609375,11854.349609375,5281970000,4055.989990234375,4055.989990234375,3837030000,18.84000015258789,18.84000015258789,0,59.7599983215332,55.63039016723633,1807100
2023-04-27,2941.590087890625,2941.590087890625,0,12142.240234375,12142.240234375,5253710000,4135.35009765625,4135.35009765625,3750550000,17.030000686645508,17.030000686645508,0,60.529998779296875,56.34718322753906,1961500
2023-04-28,2994.969970703125,2994.969970703125,0,12226.580078125,12226.580078125,5331380000,4169.47998046875,4169.47998046875,4087800000,15.779999732971191,15.779999732971191,0,60.66999816894531,56.47750473022461,3187000
2023-05-01,3019.090087890625,3019.090087890625,0,12212.599609375,12212.599609375,5168430000,4167.8701171875,4167.8701171875,3321370000,16.079999923706055,16.079999923706055,0,60.27000045776367,56.10514831542969,2247100
2023-05-02,2996.860107421875,2996.860107421875,0,12080.509765625,12080.509765625,5501410000,4119.580078125,4119.580078125,4486130000,17.780000686645508,17.780000686645508,0,60.400001525878906,56.22616958618164,2906500
2023-05-03,2957.3701171875,2957.3701171875,0,12025.330078125,12025.330078125,5782160000,4090.75,4090.75,4246510000,18.34000015258789,18.34000015258789,0,60.08000183105469,55.928279876708984,3012400
2023-05-04,2941.6298828125,2941.6298828125,0,11966.400390625,11966.400390625,4745780000,4061.219970703125,4061.219970703125,4920090000,20.09000015258789,20.09000015258789,0,60.560001373291016,56.3751106262207,2580900
2023-05-05,3007.68994140625,3007.68994140625,0,12235.41015625,12235.41015625,4574790000,4136.25,4136.25,4186270000,17.190000534057617,17.190000534057617,0,61.59000015258789,57.33393478393555,2267900
2023-05-08,3024.409912109375,3024.409912109375,0,12256.919921875,12256.919921875,4216360000,4138.1201171875,4138.1201171875,3641640000,16.979999542236328,16.979999542236328,0,61.54999923706055,57.296695709228516,2675200
