record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020190012950|1021437150000|테이핑 시스템 및 테이핑 방법|한미반도체 주식회사,테이핑 시스템 및 테이핑 방법,한미반도체 주식회사,1020190012950,,1021437150000,등록,2019,2020,2020,H10P; H10W,,반도체,True,True,False,48.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,306
1020170031360|1020085150000|반도체 제조장치 및 이의 제어방법|한미반도체 주식회사,반도체 제조장치 및 이의 제어방법,한미반도체 주식회사,1020170031360,,1020085150000,등록,2017,2019,2019,H10W; H10P,,반도체,True,True,False,48.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,311
1020160062369|1017879890000|몰딩 파우더 공급장치 및 이를 이용한 몰딩 파우더 공급방법|한미반도체 주식회사,몰딩 파우더 공급장치 및 이를 이용한 몰딩 파우더 공급방법,한미반도체 주식회사,1020160062369,,1017879890000,소멸,2016,2017,2017,H10W; H10P; B30B,,공정; 반도체,True,True,True,47.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,59
1020110110200|1013912000000|반도체 패키지 가공 방법|한미반도체 주식회사,반도체 패키지 가공 방법,한미반도체 주식회사,1020110110200,1020110124188,1013912000000,등록,2011,2011,2014,H10W; H10P,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,18
"1020110097139|1012600220000|반도체 성형 장치, 이를 포함하는 반도체 제조 장치 및 반도체 제조 방법|한미반도체 주식회사","반도체 성형 장치, 이를 포함하는 반도체 제조 장치 및 반도체 제조 방법",한미반도체 주식회사,1020110097139,1020130033203,1012600220000,등록,2011,2013,2013,H10W; H10P,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,21
1020110105269|1012369990000|반도체 패키지의 레이저 가공방법|한미반도체 주식회사,반도체 패키지의 레이저 가공방법,한미반도체 주식회사,1020110105269,,1012369990000,등록,2011,2013,2013,H10P; H10W,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,8
1020080035611|1013158890000|반도체 패키지 반송장치의 제어방법|한미반도체 주식회사,반도체 패키지 반송장치의 제어방법,한미반도체 주식회사,1020080035611,,1013158890000,등록,2008,2013,2013,H10P; H05K,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,78
1020090014699|1011222400000|반도체 패키지 가공을 위한 레이저 빔 조사 위치 보정방법|한미반도체 주식회사,반도체 패키지 가공을 위한 레이저 빔 조사 위치 보정방법,한미반도체 주식회사,1020090014699,,1011222400000,등록,2009,2012,2012,H10W; H10P,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,153
1020080049099|1014255400000|반도체 패키지 제조장치의 스트립 안착 오류 감지장치|한미반도체 주식회사,반도체 패키지 제조장치의 스트립 안착 오류 감지장치,한미반도체 주식회사,1020080049099,,1014255400000,등록,2008,2014,2014,H10W; H10P,,공정; 반도체,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,182
1020130087752|1015667140000|플립칩 본딩장치|한미반도체 주식회사,플립칩 본딩장치,한미반도체 주식회사,1020130087752,,1015667140000,등록,2013,2015,2015,H10P; H10W,,기판; 웨이퍼,True,True,False,47.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,271
