application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020107025746,1020110005273,1011375370000,등록,등록,시험 장치 및 정보 처리 시스템,주식회사 아도반테스토
1020107026136,1020110005287,1011382010000,등록,등록,"시험용 웨이퍼, 시험 시스템, 및, 반도체 웨이퍼",주식회사 아도반테스토
1020100041492,1020100123609,1011381950000,등록,등록,"접속 장치, 접속 방법, 시험 장치 및 스위치 장치",주식회사 아도반테스토
1020107018540,1020110081770,1011382970000,등록,등록,프로브 장치 및 시험 장치,주식회사 아도반테스토
1020157026732,1020150126374,1021005330000,등록,등록,FPGA 블록 내에 패킷 형성을 위한 가속을 갖는 시험기,주식회사 아도반테스토
1020217011301,1020210057169,,거절,거절,저장된 에너지원을 갖고 충전 단자를 갖는 차량 전기 시스템,비테스코 테크놀로지스 게엠베하
1020080112698,1020100053869,1010116460000,소멸,소멸,히트싱크 구조체 및 이를 구비한 테스트헤드,주식회사 아도반테스토
1019980008713,1019980080289,1002865030000,소멸,소멸,발열체냉각장치,주식회사 아도반테스토
102020237000046,2020240000063,,공개,공개,불꽃놀이 생일초,"코메르시알 데 페스테스 아이 레베틀스, 에스.엘.|리우양 유에반완 아츠 앤 크래프츠 매뉴팩처링 씨오, 엘티디"
1020227035032,1020230036059,,공개,공개,표적 핵산을 변형시키는 조성물 및 방법,"더 리전트 오브 더 유니버시티 오브 캘리포니아|더 제이. 데이비드 글래드스톤 인스티튜트, 어 테스터멘터리 트러스트 이스타빌리쉬드 언더 더 윌 오브 제이. 데이비드 글래드스톤"
1020100096730,1020110043441,1011868000000,소멸,소멸,전자부품 실장장치 및 전자부품의 실장방법,주식회사 아도반테스토
1020227003787,1020220048995,1026900980000,등록,등록,차량용 전기 시스템,비테스코 테크놀로지스 게엠베하
1020160101876,1020180017676,,거절,거절,박막증착장치,주식회사 테스
1020120089387,1020140023026,1013845810000,등록,등록,메모리 저장 유닛의 통신 제어 장치,주식회사 유니테스트
1020120084723,,1011872600000,등록,등록,태양발전장치용 인버터장치,주식회사 유니테스트
1020210123936,1020230040596,1026216110000,등록,등록,고압 증기 멸균기,주식회사 테스트원
1020240181422,1020250006752,,거절,거절,"병렬 소켓 작동과 함께 능동형 열 인터포저(ATI) 또는 수동형 인터포저를 사용하는 테스트 장치, 및 통합 테스트 셀을 구성하는 방법",어드반테스트 테스트 솔루션스 인코포레이티드
1020070018989,1020070090754,1008700450000,소멸,소멸,TCP 핸들링 장치 및 TCP 핸들링 장치에서의 펀칭구멍 불량 검출 방법,주식회사 아도반테스토
1020230136503,1020250053370,1028316290000,등록,등록,저유전 절연막 및 그 증착 방법,주식회사 테스
102020150001595,2020160003177,2004815330000,소멸,소멸,시험기 부정 방지 시스템,주식회사 테스트원
102020190003460,2020210000492,,거절,거절,큐브 멀티 펑션 보조배터리,주식회사 테스이노베이션
1020180066887,,1019263260000,등록,등록,태양광 인버터 시스템에서 일출 및 일몰시 낭비전력을 최소화하는 충전장치 및 그 제어방법,주식회사 유니테스트
1020230085317,1020240057970,1027986100000,등록,등록,적층 칩 및 적층 칩의 제조 방법,주식회사 아도반테스토|고쿠리츠다이가쿠호진 도쿄가가쿠 다이가쿠
1020190175009,1020210082750,,취하,취하,재생에너지용 발전시스템의 고장 감지장치 및 방법,(주)온테스트
1020120088324,,1012546460000,등록,등록,솔리드 스테이트 드라이브 테스터에서 스토리지 인터페이스장치,주식회사 유니테스트
1020120088328,,1012552650000,등록,등록,솔리드 스테이트 드라이브 테스터에서 에러 발생장치,주식회사 유니테스트
1020130072850,,1013199590000,등록,등록,하이브리드 에너지 저장 시스템,국제통신공업 주식회사|(주)테스
1020220178210,1020230095834,,공개,공개,"발전 제어 장치, 발전 제어 방법, 기억 매체",나부테스코 가부시키가이샤
1020247001280,1020240021903,1028299780000,등록,등록,고전압 구역과 이로부터 연장되고 안전 디바이스를 통해 연결된 복수의 저전압 구역을 갖는 차량 전기 시스템,비테스코 테크놀로지스 게엠베하
1020177014016,1020170072318,1025025640000,등록,등록,"기차, 특히 자동 지하철와 그러한 장치가 제공된 동적 테스트 리그 사이의 통신을 시뮬레이션하는 장치",스페레아 테스트 & 서비스|세렘므
1020240198369,1020260019368,,거절,거절,"물류 처리 시스템, 물류 처리 관리 시스템 및 그의 동작 방법",주식회사 테스프
1020120088333,,1012546470000,등록,등록,솔리드 스테이트 드라이브 테스트장치,주식회사 유니테스트
1020170121627,1020180036546,1019506040000,등록,등록,단선 검출 장치,나부테스코 가부시키가이샤
1020200081105,1020210108857,1023614090000,등록,등록,홈 에너지 관리 시스템을 이용한 전기차량 공유 충전장치 및 그 방법,(주)온테스트
1020090023202,1020100104639,1014952650000,등록,등록,하이브리드 자동차의 구동 모터 제어 장치 및 방법,비테스코 테크놀로지스 코리아 유한책임회사
1019990010691,1019990078337,1003673360000,소멸,소멸,커스터머 트레이 수납장치,주식회사 아도반테스토
1020047000629,1020040028925,,취하,취하,테스트 헤드 도킹 시스템 및 그 방법,인테스트 코포레이션
1020240113654,,1028436240000,등록,등록,기판처리장치 및 기판처리방법,주식회사 테스
1020247018178,1020240120719,,공개,공개,FRET 효소 기질 및 폐암에서의 그 용도,우르테스테 에스.에이.
1020120036685,1020120120009,1013889740000,소멸,소멸,시험용 캐리어 및 기판 조립체,주식회사 아도반테스토
1020110085227,1020120021217,1012755260000,소멸,소멸,프로브 및 반도체 웨이퍼 시험장치,주식회사 아도반테스토|신코 덴키 코교 가부시키가이샤
1020120066083,1020130142674,1013941840000,소멸,소멸,박막증착장치,주식회사 테스
1020170183373,,1019329000000,등록,등록,발광소자의 보호막 증착방법,주식회사 테스
1020110079521,1020120022620,1018548130000,소멸,소멸,"다축 렌즈, 합성 렌즈를 사용하는 빔 시스템, 및 합성 렌즈를 제조하는 방법",아이씨티 인티그레이티드 써킷 테스팅 게젤샤프트 퓌어 할프라이터프뤼프테크닉 엠베하
1020090118131,1020110061667,1011277570000,등록,등록,"서셉터 접지유닛, 이를 이용하여 서셉터 접지의 가변방법 및 이를 갖는 공정챔버",주식회사 테스
1020097005314,1020090049072,1011474440000,등록,등록,"신호 생성 장치, 시험 장치 및 회로 디바이스",주식회사 아도반테스토
1020077024030,1020090091249,1011069720000,등록,등록,전자부품 시험장치,주식회사 아도반테스토
1020067010406,1020060129202,,거절,거절,아날로그와 혼합 신호 시험을 위한 모듈의 동기화,주식회사 아도반테스토
1020027013243,1020030028461,,취하,취하,"다축전자렌즈를 이용한 멀티빔 노광장치, 반도체소자제조방법",주식회사 아도반테스토
1019950042819,1019960019641,,거절,거절,테스트.헤드접속장치를장비한반도체시험장치,주식회사 아도반테스토
1020080087857,1020100028907,1009940970000,소멸,소멸,기판처리장치,주식회사 테스
1020120059535,1020130136032,1013671160000,소멸,소멸,박막증착장치,주식회사 테스
1020077000797,1020070088448,1008154940000,소멸,소멸,"프로브 카드 및 그 제조 방법, 및 프로브 카드의 리페어방법",주식회사 아도반테스토
1020060098126,1020070038933,1012844070000,등록,등록,DUT를 테스트하도록 구성되는 캐루셀과 이를 포함하는테스터 및 테스트 방법,어드밴테스트 (싱가포르) 피티이. 엘티디.
1020110066833,1020130005446,1012754990000,소멸,소멸,마스크 어셈블리,주식회사 테스
1019970059191,1019980042274,1002689830000,소멸,소멸,BGA팩케이지용IC소켓트,주식회사 아도반테스토
1020120033264,,1012704330000,소멸,소멸,대면적 기판 처리 장치,주식회사 테스
1019980059289,1020000042989,1003056830000,소멸,소멸,번인테스터용번인보드,테스텍 주식회사
1020077004549,1020070053719,,취하,취하,반도체 테스트 시스템,테스토 리사치 라보라토리즈 가부시키가이샤
1020077004158,1020070035612,1008895730000,소멸,소멸,전자 부품 시험 장치 및 전자 부품 시험 장치의 편성 방법,주식회사 아도반테스토
1020120059175,1020130135534,1013614780000,소멸,소멸,박막증착장치,주식회사 테스
1020080051683,1020090125524,1010011050000,등록,등록,반도체 제조용 챔버,주식회사 테스
1020070030343,1020070098603,,거절,거절,패턴 측정 장치 및 패턴 측정 방법,주식회사 아도반테스토
1020057003092,1020050088277,,거절,거절,테스트 헤드 위치지정 장치,인테스트 코포레이션
1019990009509,1019990078097,1002952490000,소멸,소멸,IC 시험 장치,주식회사 아도반테스토
1020090039191,1020100120398,,거절,거절,기판 처리 장치,주식회사 테스
1020110132717,1020130066049,1013249410000,소멸,소멸,비정질 탄소막 형성 방법,주식회사 테스
1020230002658,1020240111049,1027604570000,등록,등록,스핀들유닛 및 기판처리장치,주식회사 테스
1020090040815,1020100032812,,취하,취하,화학기상증착 장치와 이를 이용한 기판 처리 시스템,주식회사 테스
1020080042657,1020090116867,1009701130000,소멸,소멸,기판 리프트 어셈블리,주식회사 테스
1020230105972,,1027637180000,등록,등록,기판처리장치 및 기판처리방법,주식회사 테스
