application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020080135925,1020100077859,,취하,취하,경화 폴리머 레지듀 제거 방법,주식회사 디비하이텍
1020090133798,1020110077275,,취하,취하,반도체 소자의 광 근접 보정 방법,주식회사 디비하이텍
1020070112547,,1008878870000,등록,등록,이미지센서,주식회사 디비하이텍
1020080099081,1020100040044,1010250870000,등록,등록,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020080052040,1020090125947,,거절,거절,반도체 소자의 제조 방법,주식회사 디비하이텍
1020070123470,1020090056356,1009489820000,소멸,소멸,포토레지스트 도포장비 및 이의 방법,주식회사 디비하이텍
1020070135893,1020090068034,1009549070000,소멸,소멸,반도체 소자의 테스트 패턴 및 그 제조방법,주식회사 디비하이텍
1020090135800,1020110078888,,취하,취하,반도체 메모리 소자 및 반도체 메모리 소자의 제조 방법,주식회사 디비하이텍
1020090000938,1020100081628,1015318840000,소멸,소멸,수평형 디모스 트랜지스터,주식회사 디비하이텍
1020070112803,1020090046575,1009104440000,소멸,소멸,이미지 센서의 금속배선 형성방법,주식회사 디비하이텍
1020080134168,1020100076210,,취하,취하,반도체 소자의 감광막 패턴 형성 방법,주식회사 디비하이텍
1020080068268,1020090071330,,거절,거절,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070137057,1020090069407,1009594430000,소멸,소멸,이미지 센서의 제조 방법,주식회사 디비하이텍
1020080062701,1020090072924,1009229290000,소멸,소멸,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070123567,1020090056431,,거절,거절,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020080100584,1020100041416,1010333470000,소멸,소멸,이미지센서의 제조방법,주식회사 디비하이텍
1020070124089,1020090057489,,거절,거절,이미지 센서 및 그 제조방법,주식회사 디비하이텍
1020070088249,1020090022687,1008895560000,소멸,소멸,반도체 소자의 인덕터 및 그 제조방법,주식회사 디비하이텍
1020080104146,1020100045099,1010333970000,소멸,소멸,이미지 센서의 제조 방법,주식회사 디비하이텍
1020090134622,1020110077935,,취하,취하,이미지센서 및 그 제조방법,주식회사 디비하이텍
1020070047597,,1008439680000,소멸,소멸,이미지센서의 제조방법,주식회사 디비하이텍
1020080134596,1020100076519,,취하,취하,이미지센서 및 그 제조방법,주식회사 디비하이텍
