universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
166,,삼성전기,009150,KOSPI,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.4957037037037037,FAIR,FAIR,FAIR,0.5297655139045552,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9613637696053304,HIGH,HIGH,0.09523408011479967,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
10,mico,미코,059090,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,True,True,OK,데이터 사용 가능,LOW,LOW,0.7733333333333334,FAIR,FAIR,FAIR,0.9066669659525092,HIGH,HIGH,0.2142857142857142,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6769145960065608,MEDIUM,MEDIUM,0.10646038380774528,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
1,dbhitek,DB하이텍,000990,KOSPI,IDM/제조/메모리,IDM/제조/메모리,True,True,OK,데이터 사용 가능,LOW,LOW,0.6653333333333333,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9104444876024207,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9880726272379208,HIGH,HIGH,0.04988685023425709,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
139,woldex,월덱스,101160,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.745897435897436,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9476922450763601,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9681016473230849,HIGH,HIGH,0.15527064195126172,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
141,enf_tech,이엔에프테크놀로지,102710,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.7061538461538462,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9371627732042065,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.8730332003988217,HIGH,HIGH,0.01762692878431683,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
138,wonik_materials,원익머트리얼즈,104830,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.6682051282051282,FAIR,FAIR,FAIR,0.9160049727267536,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.9269592012859288,HIGH,HIGH,0.08809933839296093,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
148,hansol,한솔케미칼,014680,KOSPI,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.6330769230769231,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8364696976606926,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9711543901439185,HIGH,HIGH,0.058190310497948615,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
133,ltc,엘티씨,170920,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.5838461538461538,FAIR,FAIR,ATTRACTIVE,0.6353016273848794,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9205018564538214,HIGH,HIGH,0.0038993876391341673,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
145,tck,티씨케이,064760,KOSDAQ GLOBAL,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.4956410256410256,FAIR,FAIR,FAIR,0.6535546916238612,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.7960429313317705,HIGH,HIGH,0.151556576218825,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
126,dongjin_semichem,동진쎄미켐,005290,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.4702564102564102,FAIR,FAIR,ATTRACTIVE,0.48929755601795294,LOW,LOW,0.0,LOW_RISK,저위험,LOW_RISK,0.9474461757717627,HIGH,HIGH,0.021813937556984325,False,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,FOCAL_5,False
