date,external__sox_close,external__sox_adj_close,external__sox_volume,external__nasdaq_close,external__nasdaq_adj_close,external__nasdaq_volume,external__sp500_close,external__sp500_adj_close,external__sp500_volume,external__vix_yf_close,external__vix_yf_adj_close,external__vix_yf_volume,external__korea_etf_close,external__korea_etf_adj_close,external__korea_etf_volume,external__market_source_calendar_fill_status,external__market_source_original_min_date,external__market_source_original_max_date,external__market_source_calendar_start_date,external__market_source_calendar_end_date,external__market_source_calendar_generated_at,news__ticker,news__stock_code,news__data_cutoff_ok,news__close,news__volume,news__return_20d,news__return_60d,news__rsi_14,news__ma20_gap,news__ma60_gap,news__abnormal_volume,news__volume_z,news__volatility_20d,news__relative_strength_vs_sector,news__technical_signal,news__technical_reliability,news__dram_price_momentum,news__nand_price_momentum,news__global_chip_sales_momentum,news__chip_sales_momentum,news__capacity_utilization,news__inventory_change,news__bb_ratio,news__sox_momentum,news__semiconductor_export_momentum,news__semiconductor_inventory_momentum,news__semiconductor_production_momentum,news__semiconductor_shipment_momentum,news__oecd_cli_momentum,news__sector_cycle_signal,news__sector_cycle_reliability,news__usdkrw_change,news__raw_material_price_change,news__commodity_price_change,news__interest_rate_change,news__fx_beta,news__raw_material_beta,news__sox_beta,news__krx_sector_beta,news__export_sensitivity,news__import_cost_sensitivity,news__rate_sensitivity,news__supply_chain_sensitivity,news__firm_market_sensitivity_signal,news__firm_sensitivity_reliability,news__current_window_news_signal,news__lag_window_news_signal,news__news_attention_signal,news__news_count_current,news__news_count_lag,news__news_cutoff_applied,news__news_reliability,news__market_signal,news__market_recommendation,news__market_weighted_signal,news__signal_reliability,news__prob_sell,news__prob_hold,news__prob_buy,news__field,news__company,news__as_of_date,news__frequency,news__source_kind,news__market_source_calendar_fill_status,news__market_source_original_min_date,news__market_source_original_max_date,news__market_source_calendar_start_date,news__market_source_calendar_end_date,news__market_source_calendar_generated_at,cycle__data_cutoff_ok,cycle__sox_momentum,cycle__chip_sales_momentum,cycle__global_chip_sales_momentum,cycle__semiconductor_export_momentum,cycle__semiconductor_production_momentum,cycle__semiconductor_shipment_momentum,cycle__oecd_cli_momentum,cycle__sector_cycle_signal,cycle__sector_cycle_reliability,cycle__cycle_real_source_coverage,cycle__as_of_date,cycle__field,cycle__frequency,cycle__source_kind,cycle__market_source_calendar_fill_status,cycle__market_source_original_min_date,cycle__market_source_original_max_date,cycle__market_source_calendar_start_date,cycle__market_source_calendar_end_date,cycle__market_source_calendar_generated_at,market_semiconductor_data_status,market_semiconductor_source_min_date,market_semiconductor_source_max_date,market_semiconductor_generated_at
2023-02-19,3005.8701171875,3121.6298828125,0.0,11787.26953125,11960.150390625,4925230000.0,4079.090087890625,4136.1298828125,4045480000.0,20.020000457763672,18.90999984741211,0.0,26265.0,58.27413558959961,127550.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0713481275868417,0.2082294795725319,0.4114420873303432,0.1339741400215051,0.0898328218839004,0.0713481275868417,0.0650891625926164,0.5447874098518949,1.0,5.0,2023-02-19,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-20,3005.8701171875,3121.6298828125,0.0,11787.26953125,11960.150390625,4925230000.0,4079.090087890625,4136.1298828125,4045480000.0,20.020000457763672,18.90999984741211,0.0,26550.0,58.27413558959961,136103.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.068348882336702,0.2082294795725319,0.4114420873303432,0.1339741400215051,0.0898328218839004,0.068348882336702,0.0645853377794524,0.5426706943543336,1.0,5.0,2023-02-20,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-21,2906.260009765625,3121.6298828125,0.0,11492.2998046875,11960.150390625,5002540000.0,3997.340087890625,4136.1298828125,4121590000.0,22.8700008392334,18.90999984741211,0.0,26300.0,58.27413558959961,93758.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2082294795725319,0.3274775437453001,0.1339741400215051,0.0898328218839004,0.015669556744801,-0.0573547964202325,0.3343605090855164,1.0,5.0,2023-02-21,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-22,2892.389892578125,3121.6298828125,0.0,11507.0703125,11960.150390625,4671270000.0,3991.050048828125,4136.1298828125,4079320000.0,22.290000915527344,18.90999984741211,0.0,25605.0,58.27413558959961,202560.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2082294795725319,0.3274775437453001,0.1339741400215051,0.0898328218839004,0.015669556744801,-0.0359553452636742,0.3625587682945045,1.0,5.0,2023-02-22,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-23,2988.81005859375,3121.6298828125,0.0,11590.400390625,11960.150390625,4714580000.0,4012.320068359375,4136.1298828125,3952940000.0,21.13999938964844,18.90999984741211,0.0,26200.0,58.27413558959961,155746.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2082294795725319,0.3136347982749792,0.1339741400215051,0.0898328218839004,0.015669556744801,0.0136131921232144,0.420214386508159,1.0,5.0,2023-02-23,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-24,2935.110107421875,3121.6298828125,0.0,11394.9404296875,11960.150390625,4432650000.0,3970.0400390625,4136.1298828125,3877700000.0,21.670000076293945,18.90999984741211,0.0,26050.0,58.27413558959961,110564.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2082294795725319,0.3336878375500074,0.1339741400215051,0.0898328218839004,0.015669556744801,-0.0134412891729078,0.3938886536992533,1.0,5.0,2023-02-24,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-25,2935.110107421875,3121.6298828125,0.0,11394.9404296875,11960.150390625,4432650000.0,3970.0400390625,4136.1298828125,3877700000.0,21.670000076293945,18.90999984741211,0.0,26050.0,58.27413558959961,110564.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2082294795725319,0.2826894453411228,0.1339741400215051,0.0898328218839004,0.015669556744801,-0.0153420735541426,0.3718722393508145,1.0,5.0,2023-02-25,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-26,2935.110107421875,3121.6298828125,0.0,11394.9404296875,11960.150390625,4432650000.0,3970.0400390625,4136.1298828125,3877700000.0,21.670000076293945,18.90999984741211,0.0,26050.0,58.27413558959961,110564.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.015669556744801,0.2723222410678347,0.2826894453411228,0.1710379657173475,0.1058116402772104,0.015669556744801,-0.0173265366963418,0.4355884432034115,1.0,5.0,2023-02-26,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-27,2951.2099609375,3121.6298828125,0.0,11466.98046875,11960.150390625,4494000000.0,3982.239990234375,4136.1298828125,3836950000.0,20.950000762939453,18.90999984741211,0.0,25730.0,58.27413558959961,117856.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,-0.0008066256773913,0.2723222410678347,0.2826894453411228,0.1710379657173475,0.1058116402772104,-0.0008066256773913,0.0166528913319097,0.4663417905845107,1.0,5.0,2023-02-27,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-02-28,2958.389892578125,3121.6298828125,0.0,11455.5400390625,11960.150390625,5340950000.0,3970.14990234375,4136.1298828125,5043400000.0,20.700000762939453,18.90999984741211,0.0,25790.0,58.27413558959961,198848.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0215994745866445,0.2723222410678347,0.2826894453411228,0.1710379657173475,0.1058116402772104,0.0215994745866445,0.0277310702162469,0.4920844208729764,1.0,5.0,2023-02-28,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2023-03-01,2955.830078125,3121.6298828125,0.0,11379.48046875,11960.150390625,4927530000.0,3951.389892578125,4136.1298828125,4249480000.0,20.57999992370605,18.90999984741211,0.0,25790.0,58.27413558959961,198848.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0215994745866445,0.2723222410678347,0.299190462100718,0.1710379657173475,0.1058116402772104,0.0215994745866445,0.0324435122341643,0.5029902845904707,1.0,5.0,2023-03-01,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
